address,lat,lon
7 GHIM MOH RD,1.31128823600903,103.787230603612
21 HOLLAND DR,1.3109761247096,103.792379920443
18 DOVER CRES,1.30808343614203,103.783057196097
477 SEMBAWANG DR,1.45208461891806,103.816554224473
351B CANBERRA RD,1.45086077228911,103.819972769999
357A ADMIRALTY DR,1.45004399363065,103.817003273639
353B ADMIRALTY DR,1.45016506715726,103.819306849533
351C CANBERRA RD,1.45133511467761,103.819767140308
617C PUNGGOL DR,1.40194562015473,103.912456747947
299 PUNGGOL CTRL,1.40270615150902,103.905308204685
199B PUNGGOL FIELD,1.39996997980383,103.9057511815
272B SENGKANG CTRL,1.3847603423548,103.893939092139
193 RIVERVALE DR,1.3932795324994,103.901941660487
269A COMPASSVALE LINK,1.3837150052578,103.895589036405
121 RIVERVALE DR,1.38700727244301,103.904788709879
203B PUNGGOL FIELD,1.39804841532732,103.903476518046
12 FARRER PK RD,1.31198113120325,103.851638487106
659A JURONG WEST ST 65,1.33685014192095,103.702313572487
178 YUNG SHENG RD,1.33323653409443,103.72084235604
637A PUNGGOL DR,1.39969367240436,103.91459704801
531 PASIR RIS DR 1,1.37136157858945,103.950398439602
121 PASIR RIS ST 11,1.36686954737879,103.954504704247
515 PASIR RIS ST 52,1.37414415644548,103.942957213353
551 WOODLANDS DR 44,1.4331489121414,103.795209587547
865 WOODLANDS ST 83,1.44099129535005,103.792791376738
525 WOODLANDS DR 14,1.43232278107759,103.793250049436
684C WOODLANDS DR 62,1.44140171851717,103.803998172951
893A WOODLANDS DR 50,1.43684431239404,103.79061311257
264 YISHUN ST 22,1.43587416567207,103.838503689093
625 YISHUN ST 61,1.41817361528574,103.836190364674
725 YISHUN ST 71,1.42695615059654,103.830709989693
252 YISHUN RING RD,1.43468707910632,103.841153544585
458 TAMPINES ST 42,1.35798075724836,103.954550016234
295 TAMPINES ST 22,1.35078046855695,103.954999561007
2 LOR LEW LIAN,1.35060795612848,103.875680063863
222 SERANGOON AVE 4,1.35842952473611,103.8712240101
731 TAMPINES ST 71,1.35700670008105,103.934099343677
114 LOR 1 TOA PAYOH,1.34094034792461,103.844305919348
121 LOR 2 TOA PAYOH,1.3391626233715,103.846243540344
888 TAMPINES ST 81,1.35090347766615,103.931049949489
518A TAMPINES CTRL 7,1.35637192417378,103.938384524313
205 BT BATOK ST 21,1.34712172862216,103.750057276189
63 TELOK BLANGAH HTS,1.27483128151468,103.810941362052
537 BT BATOK ST 52,1.35511516448647,103.750877888291
190 BT BATOK WEST AVE 6,1.3453856199951,103.746045480153
204 PETIR RD,1.37317516532605,103.774810614456
101 HENDERSON CRES,1.29071799751539,103.821625207737
506 JELAPANG RD,1.3870334545891,103.768120654409
520 ANG MO KIO AVE 5,1.3734054063175,103.851134219635
18 BEDOK STH RD,1.32062504871279,103.934734222428
131 ANG MO KIO AVE 3,1.37101536386003,103.841800323712
465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235
432 ANG MO KIO AVE 10,1.36830996981351,103.853600305664
763 BEDOK RESERVOIR VIEW,1.33607209475067,103.934830606324
220B BEDOK CTRL,1.32547710525716,103.934348226987
709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667
7 BEDOK STH AVE 2,1.32281544267372,103.93545524391
410 PANDAN GDNS,1.31900921124333,103.747433142313
111 JURONG EAST ST 13,1.33877574926997,103.735604254517
37 TEBAN GDNS RD,1.32053143645806,103.742652199249
628 HOUGANG AVE 8,1.36956178513922,103.880507506392
919 HOUGANG AVE 4,1.3759986435899,103.884121407611
179 YUNG SHENG RD,1.33368866801987,103.720747470236
619 JURONG WEST ST 65,1.34151734586068,103.69989937466
174 BOON LAY DR,1.34624968110858,103.709387013109
257 BOON LAY DR,1.34582026038181,103.7082523716
671 CHOA CHU KANG CRES,1.4025550181861,103.748021726542
371 CLEMENTI AVE 4,1.32057465713359,103.768211873157
621 CHOA CHU KANG ST 62,1.39914640891261,103.747205206781
