name,lat,lon
Blk 324,1.3687687,103.8466443
Blk 554,1.3717639,103.8702312
Blk 586,1.3699821,103.8534726
Opposite Ang Mo Kio Station,1.3692483,103.8511072
Mayflower Secondary School,1.3686557,103.8363727
Blk 700B,1.3691008,103.8462605
Blk 151,1.3695912,103.8753382
Blk 516,1.3709384,103.8733007
Blk 427,1.3696827,103.853966
Ang Mo Kio Primary School,1.3695806,103.8400739
After Ang Mo Kio Station Exit A,1.3694562,103.8508887
Blk 322,1.3687017,103.8472247
Opposite Daikin Singapore,1.3708509,103.8654407
Blk 5022,1.3701893,103.8628402
Opposite Mayflower Secondary School,1.3687401,103.8367908
Opposite Blk 5022,1.3699251,103.8631452
Blk 570,1.3695269,103.8560447
Opposite Blk 565,1.3689684,103.8583654
Blk 101,1.3712308,103.8704732
Opposite Ang Mo Kio Primary School,1.3699463,103.8396145
Daikin Singapore,1.3711259,103.8652151
Blk 612,1.3789645,103.8397194
Blk 622,1.381464,103.8393006
Blk 641,1.3789597,103.8399449
Opposite Blk 622,1.3814565,103.8390426
Mayflower Station Exit 5,1.3705231,103.8367964
Before Mayflower Station Exit 3,1.374341,103.8376983
Mayflower Station Exit 6,1.3704748,103.8365533
Opposite Blk 155,1.3761315,103.8391965
Mayflower Station Exit 2,1.3740515,103.8373109
Between Blks 152/155,1.3763816,103.8395291
Before Central Expressway,1.3770151,103.8605602
After Yio Chu Kang Road,1.3786171,103.8743168
After Ang Mo Kio Industrial Park 2,1.3787174,103.868519
Opposite Techplace 2,1.3785441,103.8655043
Techplace 2,1.3782762,103.866118
Opposite Blk 538,1.376136,103.853263
Opposite Blk 649,1.3771312,103.8434864
Nanyang Polytechnic,1.3764665,103.8500738
Blk 502,1.3761264,103.8500862
Blk 180,1.3768887,103.8379116
Blk 643,1.3772399,103.8405739
Blk 617,1.3772536,103.8378972
Blk 649,1.3774646,103.8434195
After Seagate,1.3784691,103.8707924
Before Seagate,1.3788428,103.8711814
Opposite Ang Mo Kio Industrial Park 2,1.3778995,103.862593
Blk 604,1.3794915,103.8355242
Opposite Blk 604,1.3793467,103.835204
ITE College Central,1.3760163,103.8558226
Before Yio Chu Kang Road,1.3789826,103.8742857
After Blk 5000,1.3775881,103.8626083
Blk 538,1.3758423,103.8531552
After Central Expressway,1.377193,103.860149
Blk 151,1.3769204,103.8410785
Blk 207,1.3656881,103.8434285
Opposite Al-Muttaqin Mosque,1.3700884,103.8453659
Courts Ang Mo Kio,1.3736076,103.8453038
Before Al-Muttaqin Mosque,1.3707194,103.8457237
After Blk 648,1.3785962,103.8443535
Blk 307A,1.3661151,103.8441117
Castle Green,1.3859582,103.8427353
Before Ang Mo Kio Avenue 5,1.3762241,103.8446606
Before Ang Mo Kio Library,1.3763405,103.8450043
Yio Chu Kang Station,1.3826451,103.844263
Opposite Yio Chu Kang Station,1.3813475,103.8439861
Opposite Castle Green,1.3860099,103.8430551
Opposite Courts Ang Mo Kio,1.3734254,103.8450085
Opposite Blk 646,1.3786671,103.8448629
Blk 504,1.3747869,103.8481265
Blk 354,1.3639414,103.8524102
Blk 420,1.3644184,103.852529
Blk 346,1.367239,103.850609
Blk 422,1.3676882,103.8506805
Yio Chu Kang Interchange,1.3810332,103.8452944
Blk 332,1.3613926,103.852557
Opposite Christ The King Church,1.3620452,103.8530664
Before Ang Mo Kio Station Exit B,1.3712419,103.8487
