model,RMSE,MAE,R²,MAPE %
Linear Regression,67792.72948577211,51731.986335922935,0.874019228481336,10.77231453926088
Random Forest,32353.745404199035,21561.287779471862,0.9713062605028284,4.1095141499423
LightGBM (manual),26304.521986094293,18638.981013783836,0.9810329909254254,3.623519180537854
LightGBM (Optuna-tuned),25319.957340934343,17888.90959771061,0.9824262694557567,3.4803445997107216
